package_id,package_name,destination,weight_kg
1,Paket Alat Tulis 665,Bale Siswa,"0,48"
2,Prioritas Kacamata 230,SMPN 1 Jatinangor,"5,25"
3,Express Obat 473,Pinewood,"4,79"
4,Fragile Dokumen 466,Louvin Apartment,"1,19"
5,Reguler Mainan 782,Guest House 65,"4,6"
6,Kilat Sepatu 898,Pinewood,"4,35"
7,Mini Kacamata 735,Pinewood,"1,44"
8,Prime Makanan 342,Campaka Kost,"3,13"
9,Aman Kosmetik 919,Pinewood,"0,94"
10,Cepat Kosmetik 522,SMPN 1 Jatinangor,"2,31"
11,Express Kosmetik 854,Bale Siswa,"2,63"
12,Fragile Perabot 901,Guest House 65,"3,82"
13,Fragile Kacamata 921,Pondok Setiawan,"4,64"
14,Lite Mainan 373,Guest House 65,"2,76"
15,Prioritas Pakaian 491,Pondok Setiawan,"8,07"
16,Aman Dokumen 979,Pinewood,"6,7"
17,Super Mainan 304,Pondok Amaya,"4,52"
18,Aman Tas 458,Sabar Subur,"5,61"
19,Cargo Mainan 328,Pondok Amaya,"4,73"
20,Express Peralatan 508,Skyland Apartment,"7,66"
21,Paket Aksesoris 985,Bale Siswa,"1,21"
22,Kilat Aksesoris 459,Sabar Subur,"7,25"
23,Lite Charger 509,Campaka Kost,"2,47"
24,Lite Parfum 439,Louvin Apartment,"7,34"
25,Express Pakaian 998,Awani Studento 1,"6,19"
26,Cargo Kosmetik 694,Bale Siswa,"1,62"
27,Cargo Dokumen 211,Skyland Apartment,"2,61"
28,Heavy Kacamata 453,Pondok Setiawan,"2,05"
29,Prime Perabot 546,Louvin Apartment,"3,08"
30,Heavy Charger 218,SMPN 1 Jatinangor,"5,76"
31,Spesial Alat Tulis 294,SMPN 1 Jatinangor,"7,05"
32,Cargo Dokumen 825,Kost Anggrek,"4,34"
33,Spesial Elektronik 632,Pondok Amaya,"2,37"
34,Fragile Parfum 803,Pondok Setiawan,"7,48"
35,Prime Peralatan 472,Pondok Setiawan,"0,8"
36,Spesial Buku 780,Pinewood,"5,35"
37,Fragile Perabot 738,Campaka Kost,"6,87"
38,Paket Pakaian 837,Guest House 65,"0,75"
39,Fragile Obat 619,Skyland Apartment,"3,01"
40,Cargo Kacamata 434,Campaka Kost,"1,43"
41,Spesial Obat 667,Pondok Setiawan,"8,04"
42,Prioritas Peralatan 530,Pondok Setiawan,"1,67"
43,Lite Jam 793,Skyland Apartment,"3,85"
44,Prime Kosmetik 730,Sabar Subur,"5,9"
45,Heavy Obat 515,SMPN 1 Jatinangor,"4,78"
46,Mini Elektronik 411,Pondok Amaya,"1,28"
47,Cargo Peralatan 540,Campaka Kost,"7,77"
48,Cepat Alat Tulis 721,Skyland Apartment,"5,79"
49,Lite Perabot 576,Guest House 65,"1,57"
50,Super Tas 791,Pinewood,"0,7"
