package_id,package_name,destination,weight_kg
1,Aman Mainan 987,Sabar Subur,"2,47"
2,Kilat Jam 384,Bale Siswa,"2,35"
3,Super Sepatu 266,Bale Siswa,"2,26"
4,Paket Sepatu 314,Pondok Amaya,"1,81"
5,Lite Aksesoris 818,Campaka Kost,"0,55"
6,Fragile Buku 723,Kost Anggrek,"2,92"
7,Lite Kosmetik 646,Skyland Apartment,"1,1"
8,Prime Mainan 267,Pinewood,"5,5"
9,Super Jam 376,Campaka Kost,"0,75"
10,Fragile Parfum 324,Guest House 65,"1,97"
11,Lite Perabot 963,SMPN 1 Jatinangor,"3,88"
12,Cepat Dokumen 334,Awani Studento 1,"5,34"
13,Aman Dokumen 924,Skyland Apartment,"2,36"
14,Paket Jam 374,Campaka Kost,"1,4"
15,Kilat Peralatan 680,SMPN 1 Jatinangor,"0,7"
16,Fragile Perabot 317,Skyland Apartment,"4,7"
17,Lite Kabel 505,Louvin Apartment,"4,9"
18,Fragile Tas 246,Pondok Setiawan,5
